boot	run_status	status	reason	activity	max_uptime_ms	cpu	msi	irq	irq_delta	lock	stale_not_ready	stale_current	stale_deferred	failures	data_abort	pid1
1	0	pass	-	yes	97354	60062	60	60	0	0	0	0	0	0	0	yes
2	0	pass	-	yes	112370	66203	59	59	0	1	0	0	0	0	0	yes
3	0	pass	-	yes	89319	54210	59	60	1	1	0	0	0	0	0	yes
4	0	pass	-	yes	92297	59525	59	60	1	1	0	0	0	0	0	yes
5	0	pass	-	yes	91311	56567	60	59	1	0	0	0	0	0	0	yes
6	0	pass	-	yes	97299	62978	59	60	1	1	0	0	0	0	0	yes
7	0	pass	-	yes	90320	56180	59	59	0	1	0	0	0	0	0	yes
8	0	pass	-	yes	106307	69682	59	60	1	1	0	0	0	0	0	yes
9	0	pass	-	yes	104321	66259	59	60	1	1	0	0	0	0	0	yes
10	0	pass	-	yes	113351	70104	38	38	0	1	0	0	0	0	0	yes
11	0	pass	-	yes	113327	73364	60	60	0	0	0	0	0	0	0	yes
12	0	pass	-	yes	115328	73183	59	60	1	1	0	0	0	0	0	yes
13	0	pass	-	yes	90358	59854	60	60	0	0	0	0	0	0	0	yes
14	0	pass	-	yes	152356	94105	24	23	1	1	0	0	0	0	0	yes
15	0	pass	-	yes	105333	66417	59	59	0	1	0	0	0	0	0	yes
16	0	pass	-	yes	89313	56048	59	60	1	1	0	0	0	0	0	yes
17	0	pass	-	yes	90340	58493	59	60	1	1	0	0	0	0	0	yes
18	0	pass	-	yes	99315	61729	59	60	1	1	0	0	0	0	0	yes
19	0	pass	-	yes	108369	11919	59	60	1	1	0	0	0	0	0	yes
20	0	pass	-	yes	127325	82365	60	60	0	0	0	0	0	0	0	yes
